clause_type,example_1,example_2,instruction,parameters
property_identification,"The property under sale is identified as House No. {House_Number}, situated on Road {Road_Name}.","The subject of sale is the immovable property bearing House No. {House_Number}, located on {Road_Name}.",A clause describing the identification of the house being sold.,"House_Number, Road_Name"
earnest_money_payment,The purchaser has paid an earnest amount of Rs. {Earnest_Money} on {Earnest_Money_Date}.,An advance sum of Rs. {Earnest_Money} was paid by the purchaser on {Earnest_Money_Date}.,A clause confirming payment of earnest money.,"Earnest_Money, Earnest_Money_Date"
completion_period,The sale shall be completed within {Sale_Period} months from the date of this agreement.,Completion of sale is agreed to occur within a period of {Sale_Period} months.,A clause describing the timeframe to complete the sale.,Sale_Period
furniture_inclusion,The sale includes all existing furniture and fixtures as detailed in Annexure A.,The vendor agrees to sell the property with all movable and immovable furniture currently present.,Clause specifying whether the house is furnished and what is included.,
pet_agreement,"The vendor confirms the presence of a pet dog on the premises, and the purchaser agrees to take necessary measures post-possession.",The purchaser has been informed of a domesticated dog living on the premises and accepts the property accordingly.,Clause to handle presence of animals on property before handover.,
maintenance_clearance,All outstanding maintenance dues to the society shall be cleared by the vendor before sale.,The vendor shall submit a No Dues Certificate from the housing society on or before registration.,Clause confirming society dues will be cleared.,
loan_clearance,The vendor shall repay the outstanding home loan on the property before registration.,All financial liabilities related to any mortgage on the house shall be cleared by the vendor.,Clause covering mortgage or bank loan clearance prior to sale.,
joint_ownership,The property is jointly owned by {Joint_Owner_Name} and consent has been obtained for the sale.,Both co-owners have signed the agreement to ensure smooth transfer to the purchaser.,Clause ensuring joint owner consent is taken.,Joint_Owner_Name
power_of_attorney,The vendor is executing this sale under a valid registered power of attorney dated {POA_Date}.,The representative holds a registered Power of Attorney permitting sale of the subject property.,Clause when sale is executed by a third-party POA holder.,POA_Date
tenancy_termination,The vendor shall ensure the existing tenants vacate the premises prior to registration.,All existing lease or tenancy agreements shall be terminated before sale completion.,Clause covering eviction or lease termination before possession.,
servant_quarters_inclusion,The vendor agrees to include the attached servant quarters as part of the sale.,Servant quarters located within the compound shall be transferred with the main property.,Clause stating whether servant quarters are part of the sale.,
solar_panel_transfer,The installed solar panels shall remain property of the purchaser after the sale.,Ownership of rooftop solar systems shall be transferred to the buyer at no additional cost.,Clause concerning installed solar energy infrastructure.,
kitchen_appliance_inclusion,The modular kitchen and all attached appliances shall be sold along with the house.,"Refrigerator, chimney, and stove installed in the kitchen shall remain post-sale.",Clause about inclusion of kitchen appliances.,
garden_land_rights,The vendor confirms that garden space adjoining the property is legally part of the house plot.,The landscaped garden is included as part of the agreed sale price.,Clause concerning garden or open land adjacent to house.,
clubhouse_membership_transfer,Clubhouse membership linked to the property shall be transferred to the purchaser.,Access rights to society clubhouse and amenities shall pass to the new owner upon registration.,Clause on amenities or memberships passed with house.,
pest_control_guarantee,The vendor confirms the property has undergone pest control treatment within the last 6 months.,A pest control certificate will be furnished to the purchaser before registration.,Clause regarding pest control safety.,
structural_integrity_warranty,The vendor warrants no known structural damage or defects in the building.,"To the best of the vendor’s knowledge, the property is structurally sound and free from cracks or leaks.",Clause regarding the structural health of the property.,
generator_backup_provision,The existing generator backup system shall remain installed and functional post-sale.,The house includes a generator/inverter system included in the sale.,Clause about backup power systems being included.,
boundary_dispute_declaration,The vendor declares there are no pending disputes with neighbors regarding property boundaries.,There are no encroachments or claims from adjacent properties on the house.,Clause for confirming freedom from property line disputes.,
furniture_condition_report,The vendor shall provide an inventory and condition report of all furniture sold with the property.,Furnishings included in the sale shall be handed over in usable condition as agreed.,Clause covering condition of furniture and fixtures included.,
property_identification_21,"The property under sale is identified as House No. {House_Number}, situated on Road {Road_Name}.","The subject of sale is the immovable property bearing House No. {House_Number}, located on {Road_Name}.",A clause describing the identification of the house being sold.,"House_Number, Road_Name"
earnest_money_payment_22,The purchaser has paid an earnest amount of Rs. {Earnest_Money} on {Earnest_Money_Date}.,An advance sum of Rs. {Earnest_Money} was paid by the purchaser on {Earnest_Money_Date}.,A clause confirming payment of earnest money.,"Earnest_Money, Earnest_Money_Date"
completion_period_23,The sale shall be completed within {Sale_Period} months from the date of this agreement.,Completion of sale is agreed to occur within a period of {Sale_Period} months.,A clause describing the timeframe to complete the sale.,Sale_Period
furniture_inclusion_24,The sale includes all existing furniture and fixtures as detailed in Annexure A.,The vendor agrees to sell the property with all movable and immovable furniture currently present.,Clause specifying whether the house is furnished and what is included.,
pet_agreement_25,"The vendor confirms the presence of a pet dog on the premises, and the purchaser agrees to take necessary measures post-possession.",The purchaser has been informed of a domesticated dog living on the premises and accepts the property accordingly.,Clause to handle presence of animals on property before handover.,
maintenance_clearance_26,All outstanding maintenance dues to the society shall be cleared by the vendor before sale.,The vendor shall submit a No Dues Certificate from the housing society on or before registration.,Clause confirming society dues will be cleared.,
loan_clearance_27,The vendor shall repay the outstanding home loan on the property before registration.,All financial liabilities related to any mortgage on the house shall be cleared by the vendor.,Clause covering mortgage or bank loan clearance prior to sale.,
joint_ownership_28,The property is jointly owned by {Joint_Owner_Name} and consent has been obtained for the sale.,Both co-owners have signed the agreement to ensure smooth transfer to the purchaser.,Clause ensuring joint owner consent is taken.,Joint_Owner_Name
power_of_attorney_29,The vendor is executing this sale under a valid registered power of attorney dated {POA_Date}.,The representative holds a registered Power of Attorney permitting sale of the subject property.,Clause when sale is executed by a third-party POA holder.,POA_Date
tenancy_termination_30,The vendor shall ensure the existing tenants vacate the premises prior to registration.,All existing lease or tenancy agreements shall be terminated before sale completion.,Clause covering eviction or lease termination before possession.,
servant_quarters_inclusion_31,The vendor agrees to include the attached servant quarters as part of the sale.,Servant quarters located within the compound shall be transferred with the main property.,Clause stating whether servant quarters are part of the sale.,
solar_panel_transfer_32,The installed solar panels shall remain property of the purchaser after the sale.,Ownership of rooftop solar systems shall be transferred to the buyer at no additional cost.,Clause concerning installed solar energy infrastructure.,
kitchen_appliance_inclusion_33,The modular kitchen and all attached appliances shall be sold along with the house.,"Refrigerator, chimney, and stove installed in the kitchen shall remain post-sale.",Clause about inclusion of kitchen appliances.,
garden_land_rights_34,The vendor confirms that garden space adjoining the property is legally part of the house plot.,The landscaped garden is included as part of the agreed sale price.,Clause concerning garden or open land adjacent to house.,
clubhouse_membership_transfer_35,Clubhouse membership linked to the property shall be transferred to the purchaser.,Access rights to society clubhouse and amenities shall pass to the new owner upon registration.,Clause on amenities or memberships passed with house.,
pest_control_guarantee_36,The vendor confirms the property has undergone pest control treatment within the last 6 months.,A pest control certificate will be furnished to the purchaser before registration.,Clause regarding pest control safety.,
structural_integrity_warranty_37,The vendor warrants no known structural damage or defects in the building.,"To the best of the vendor’s knowledge, the property is structurally sound and free from cracks or leaks.",Clause regarding the structural health of the property.,
generator_backup_provision_38,The existing generator backup system shall remain installed and functional post-sale.,The house includes a generator/inverter system included in the sale.,Clause about backup power systems being included.,
boundary_dispute_declaration_39,The vendor declares there are no pending disputes with neighbors regarding property boundaries.,There are no encroachments or claims from adjacent properties on the house.,Clause for confirming freedom from property line disputes.,
furniture_condition_report_40,The vendor shall provide an inventory and condition report of all furniture sold with the property.,Furnishings included in the sale shall be handed over in usable condition as agreed.,Clause covering condition of furniture and fixtures included.,
property_identification_41,"The property under sale is identified as House No. {House_Number}, situated on Road {Road_Name}.","The subject of sale is the immovable property bearing House No. {House_Number}, located on {Road_Name}.",A clause describing the identification of the house being sold.,"House_Number, Road_Name"
earnest_money_payment_42,The purchaser has paid an earnest amount of Rs. {Earnest_Money} on {Earnest_Money_Date}.,An advance sum of Rs. {Earnest_Money} was paid by the purchaser on {Earnest_Money_Date}.,A clause confirming payment of earnest money.,"Earnest_Money, Earnest_Money_Date"
completion_period_43,The sale shall be completed within {Sale_Period} months from the date of this agreement.,Completion of sale is agreed to occur within a period of {Sale_Period} months.,A clause describing the timeframe to complete the sale.,Sale_Period
furniture_inclusion_44,The sale includes all existing furniture and fixtures as detailed in Annexure A.,The vendor agrees to sell the property with all movable and immovable furniture currently present.,Clause specifying whether the house is furnished and what is included.,
pet_agreement_45,"The vendor confirms the presence of a pet dog on the premises, and the purchaser agrees to take necessary measures post-possession.",The purchaser has been informed of a domesticated dog living on the premises and accepts the property accordingly.,Clause to handle presence of animals on property before handover.,
maintenance_clearance_46,All outstanding maintenance dues to the society shall be cleared by the vendor before sale.,The vendor shall submit a No Dues Certificate from the housing society on or before registration.,Clause confirming society dues will be cleared.,
loan_clearance_47,The vendor shall repay the outstanding home loan on the property before registration.,All financial liabilities related to any mortgage on the house shall be cleared by the vendor.,Clause covering mortgage or bank loan clearance prior to sale.,
