clause_type,example_1,example_2,instruction,parameters
executor_appointment,I hereby appoint [Executor_Name] as the sole Executor of this Will.,"The Executor of this Will shall be my son, [Executor_Name], who shall carry out its provisions faithfully.",Clause to appoint an executor for the Will.,Executor_Name
residuary_estate,"All the rest, residue, and remainder of my estate shall go to [Residuary_Beneficiary].",I leave my residuary estate to [Residuary_Beneficiary] absolutely.,Clause to distribute residual estate to a beneficiary.,Residuary_Beneficiary
specific_bequest,I bequeath my gold necklace to my daughter [Beneficiary_Name].,I give my Rolex watch to my grandson [Beneficiary_Name].,Clause for giving a specific item to a named beneficiary.,Beneficiary_Name
real_property_transfer,I give my house located at [Property_Address] to my spouse [Spouse_Name].,The flat at [Property_Address] shall pass to my daughter [Spouse_Name].,Clause to bequeath real estate to a specific person.,"Property_Address, Spouse_Name"
minor_guardianship,"In the event of my death, I appoint [Guardian_Name] as the guardian of my minor children.","Should my children be under the age of 18 at the time of my death, [Guardian_Name] shall serve as their guardian.",Clause to appoint a legal guardian for minor children.,Guardian_Name
debt_forgiveness,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 5600 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 5600 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 6).,Pet_Caretaker_Name
debt_forgiveness,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 5700 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 5700 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 7).,Pet_Caretaker_Name
debt_forgiveness,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 5800 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 5800 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 8).,Pet_Caretaker_Name
debt_forgiveness,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 5900 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 5900 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 9).,Pet_Caretaker_Name
debt_forgiveness,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 6000 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 6000 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 10).,Pet_Caretaker_Name
digital_assets_transfer,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 6100 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 6100 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 11).,Pet_Caretaker_Name
digital_assets_transfer,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 6200 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 6200 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 12).,Pet_Caretaker_Name
digital_assets_transfer,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 6300 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 6300 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 13).,Pet_Caretaker_Name
digital_assets_transfer,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 6400 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 6400 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 14).,Pet_Caretaker_Name
digital_assets_transfer,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 6500 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 6500 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 15).,Pet_Caretaker_Name
digital_assets_transfer,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 6600 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 6600 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 16).,Pet_Caretaker_Name
digital_assets_transfer,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 6700 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 6700 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 17).,Pet_Caretaker_Name
digital_assets_transfer,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 6800 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 6800 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 18).,Pet_Caretaker_Name
digital_assets_transfer,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 6900 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 6900 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 19).,Pet_Caretaker_Name
digital_assets_transfer,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 7000 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 7000 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 20).,Pet_Caretaker_Name
funeral_wishes,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 7100 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 7100 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 21).,Pet_Caretaker_Name
funeral_wishes,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 7200 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 7200 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 22).,Pet_Caretaker_Name
funeral_wishes,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 7300 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 7300 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 23).,Pet_Caretaker_Name
funeral_wishes,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 7400 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 7400 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 24).,Pet_Caretaker_Name
funeral_wishes,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 7500 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 7500 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 25).,Pet_Caretaker_Name
funeral_wishes,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 7600 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 7600 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 26).,Pet_Caretaker_Name
funeral_wishes,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 7700 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 7700 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 27).,Pet_Caretaker_Name
funeral_wishes,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 7800 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 7800 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 28).,Pet_Caretaker_Name
funeral_wishes,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 7900 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 7900 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 29).,Pet_Caretaker_Name
funeral_wishes,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 8000 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 8000 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 30).,Pet_Caretaker_Name
pet_guardianship,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 8100 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 8100 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 31).,Pet_Caretaker_Name
pet_guardianship,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 8200 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 8200 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 32).,Pet_Caretaker_Name
pet_guardianship,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 8300 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 8300 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 33).,Pet_Caretaker_Name
pet_guardianship,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 8400 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 8400 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 34).,Pet_Caretaker_Name
pet_guardianship,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 8500 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 8500 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 35).,Pet_Caretaker_Name
pet_guardianship,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 8600 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 8600 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 36).,Pet_Caretaker_Name
pet_guardianship,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 8700 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 8700 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 37).,Pet_Caretaker_Name
pet_guardianship,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 8800 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 8800 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 38).,Pet_Caretaker_Name
pet_guardianship,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 8900 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 8900 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 39).,Pet_Caretaker_Name
pet_guardianship,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 9000 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 9000 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 40).,Pet_Caretaker_Name
business_succession,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 9100 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 9100 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 41).,Pet_Caretaker_Name
business_succession,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 9200 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 9200 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 42).,Pet_Caretaker_Name
business_succession,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 9300 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 9300 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 43).,Pet_Caretaker_Name
business_succession,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 9400 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 9400 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 44).,Pet_Caretaker_Name
business_succession,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 9500 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 9500 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 45).,Pet_Caretaker_Name
business_succession,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 9600 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 9600 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 46).,Pet_Caretaker_Name
business_succession,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 9700 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 9700 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 47).,Pet_Caretaker_Name
business_succession,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 9800 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 9800 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 48).,Pet_Caretaker_Name
business_succession,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 9900 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 9900 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 49).,Pet_Caretaker_Name
business_succession,I hereby direct that my pet dog be taken care of by [Pet_Caretaker_Name] and be allocated Rs. 10000 per month from my estate.,[Pet_Caretaker_Name] shall receive monthly funds of Rs. 10000 for the upkeep and medical care of my pet dog.,Clause for pet care support with monthly maintenance (scenario 50).,Pet_Caretaker_Name
