clause_type,example_1,example_2,instruction,parameters
lease_term,The lease shall be valid for a period of 11 months commencing from [Start_Date].,This agreement is for 11 months starting from [Start_Date] with no automatic renewal.,Clause defining the duration of the lease.,Start_Date
monthly_rent,The Lessee shall pay a rent of Rs. [Rent_Amount]/- every month on or before the 5th.,Monthly rental of Rs. [Rent_Amount]/- is to be paid via NEFT to the Lessor's account.,Clause specifying the monthly rent and due date.,Rent_Amount
security_deposit,The Lessee agrees to pay Rs. [Deposit_Amount]/- as a security deposit refundable upon termination.,A sum of Rs. [Deposit_Amount]/- is taken as interest-free refundable deposit.,Clause about the security deposit amount and refund conditions.,Deposit_Amount
purpose_of_lease,The premises shall be used only for residential purposes and not for any business activity.,The leased unit must be used as a residence and not for running a business.,Clause specifying usage of the premises.,
maintenance_responsibility,Lessee shall be responsible for day-to-day maintenance of the premises.,Minor repairs like leaking taps are to be handled by the tenant.,Clause about who is responsible for maintenance.,Maintenance_Responsibility
subletting_restriction,Lessee shall not sublet or license the premises without Lessor's written consent.,Subleasing without permission will be deemed a breach of contract.,Clause restricting subletting or reassignment.,Subletting_Allowed
lease_termination,Either party may terminate the lease by giving a notice of [Notice_Period] days.,A notice period of [Notice_Period] days is mandatory before vacating.,Clause on termination rights of either party.,Notice_Period
rent_revision,Rent may be revised by up to 10% after completion of 11 months.,Rent escalation will occur at 8% annually on mutual consent.,Clause on periodic rent revision conditions.,Revision_Percentage
lock_in_period,The lease shall have a lock-in period of 6 months during which termination is not allowed.,Tenant shall not terminate the lease before 6 months except under emergency.,Clause defining lock-in restrictions for early exit.,Lockin_Period
penalty_clause,Failure to vacate the property on time shall result in a penalty of Rs. 500 per day.,Delay in handing over possession after lease ends will incur Rs. 1000 per day.,Clause specifying penalty for delayed handover or overstay.,Penalty_Per_Day
repair_responsibility,All internal repairs shall be undertaken by the Lessee at their own cost.,The Lessee shall keep the premises in good working condition during lease.,Clause assigning responsibility for internal repairs.,Repair_Types
utility_payment,"Lessee shall pay all electricity, water, gas, and internet bills during tenancy.",All utility connections shall be transferred to the Lessee during tenancy.,Clause covering utility and amenity bill responsibility.,Bill_Types
property_tax_clause,Property tax shall be paid solely by the Lessor during the lease period.,Taxes levied by local authorities shall be borne by the owner.,Clause assigning responsibility for property tax.,Tax_Payer
entry_rights,The Lessor shall be allowed to inspect the premises with 24-hour notice.,Owner can enter the property with 48 hours’ notice for inspection.,Clause granting landlord access to inspect the property.,Entry_Notice_Hours
pets_policy,No pets shall be kept in the premises without prior approval from the Lessor.,Any pet in the premises requires written approval and vaccination certificate.,Clause defining rules on keeping pets.,Pet_Policy
visitor_policy,Visitors are not allowed to stay overnight without informing the Lessor.,"Guests can stay up to 7 days only, else charges apply.",Clause defining visitor duration or overnight stay rules.,Visitor_Days_Limit
alteration_permission,No structural modifications shall be done by Lessee without written permission.,"Painting, drilling, or interior works are not allowed without consent.",Clause about alteration or modification permissions.,Modification_Type
insurance_clause,The Lessee shall insure their personal belongings at their own discretion.,Tenant is responsible for insurance of personal electronics and valuables.,Clause about insurance requirements for tenant.,Insurance_Coverage
fire_safety,Lessee shall ensure that fire safety guidelines are followed at all times.,Basic fire extinguishers shall be provided and maintained by the Lessee.,Clause about adherence to fire safety standards.,Extinguisher_Provided
eviction_policy,Lessor may evict the Lessee upon serious breach of lease terms.,Eviction shall be processed if illegal activity is reported at the premises.,Clause outlining grounds for eviction.,Eviction_Reason
furnishing_clause,Furniture provided by the Lessor must be maintained in original condition.,"Lessee is liable for damage to sofas, beds, or electronics provided by Lessor.",Clause regarding furnished apartment care and maintenance.,Furniture_List
deposit_refund,Security deposit shall be refunded within 30 days of lease termination after deductions.,"Deposit return shall be made after inspection and deductions, if any.",Clause for returning deposit with deductions.,Refund_Days
notice_period,A 30-day notice is required by either party to terminate the agreement.,Lessee must provide [Notice_Period] days’ notice for leaving the property.,Clause requiring notice for early exit.,Notice_Period
access_rights,Lessor retains the right to access the premises for urgent repairs with prior notice.,Emergency access must be granted to owner in case of water/gas leak.,Clause on emergency access to the leased premises.,Repair_Access_Types
noise_control,Loud music or gatherings after 10 PM are strictly prohibited.,Any loud music disturbing neighbors will invite written warnings.,Clause restricting excessive noise or disturbance.,Noise_Timing
shared_facilities,Lessee may use common areas like terrace and parking as per society rules.,Common amenities shall be used as per RWA guidelines only.,Clause on use of shared society facilities.,Shared_Space_Rules
garbage_disposal,Garbage must be disposed of regularly and not accumulated in corridors.,Improper garbage disposal may lead to fines from the housing society.,Clause about proper disposal of garbage.,Garbage_Rules
