clause_type,example_1,example_2,instruction,parameters
loan_amount,The Borrower acknowledges receipt of a loan amounting to {loan_amount}/- {start_date}the Lender.,The total principal sum of {loan_amount}/- shall be advanced by the Lender to the Borrower upon execution of this Agreement.,a clause that states the amount of the loan being disbursed to the Borrower,"loan_amount, start_date"
repayment_schedule,The Borrower shall repay the loan in 24 equal {repayment_frequency} {number_of_installments} commencing {start_date}1st July 2025.,"Repayment shall be made in {repayment_frequency} {number_of_installments}, with the first payment due {notice_period} {start_date}the disbursal date.",a clause describing the loan repayment schedule,"notice_period, number_of_installments, repayment_frequency, start_date"
interest_rate,"This loan shall carry an {interest_rate} per annum, calculated on a reducing balance basis.","No interest shall be charged on the loan, and the Borrower agrees to repay only the principal sum.",a clause stating the interest applicable on the loan,interest_rate
loan_purpose,The Borrower declares that the {loan_amount} shall be utilized exclusively for the purchase of residential property.,This loan is sanctioned solely for the purpose of business expansion of the Borrower’s firm.,a clause describing the intended purpose for which the loan is being availed,loan_amount
term_duration,The term of this loan shall be {tenure_duration} commencing from {start_date}.,"The tenure of the loan shall be {tenure_duration}, starting {start_date}.",a clause stating the duration or term of the loan,"tenure_duration, start_date"
collateral_description,"The loan is secured against residential flat located at Plot 14, Green Enclave, Pune.","As security, the Borrower pledges machinery worth {loan_amount}/- situated at the manufacturing unit.",a clause describing the collateral offered for the loan,loan_amount
personal_guarantee,"Mr. Ravi Sharma, brother of the Borrower, shall act as a personal guarantor for this loan.","The Borrower’s father, Mr. Naresh Kumar, hereby unconditionally guarantees the repayment obligations.",a clause appointing a personal guarantor for the loan,
lien_rights,The Lender shall hold a first lien over the property listed as collateral until full repayment.,The Lender reserves the right to create a lien on any asset pledged under this Agreement.,a clause explaining the lender’s lien rights over the collateral,
third_party_guarantor,ABC Pvt. Ltd. shall act as a third-party guarantor for the entire {loan_amount}.,The loan shall be backed by a guarantee provided by XYZ Associates.,a clause identifying a third party acting as guarantor,loan_amount
prepayment_terms,The Borrower may prepay the loan in full or in part without any penalty.,Prepayment shall be permitted with a penalty of 2% on the prepaid amount.,a clause specifying terms for early repayment of the loan,
late_payment_penalty,Late payments shall attract a penalty of {loan_amount} per week of delay.,The Borrower shall be charged interest at 2% per month for overdue payments.,a clause imposing penalty for delayed repayments,loan_amount
missed_installment,A missed {number_of_installments} shall result in a notice period of 10 days to regularize the payment.,"In case of missed EMI, the Lender reserves the right to adjust future payments accordingly.",a clause describing consequences of missing scheduled payments,number_of_installments
payment_holiday,The Borrower may avail one payment holiday of up to 3 months during the loan tenure.,A moratorium period of 6 months is provided during which no repayments are due.,a clause allowing temporary suspension of payments,
default_event,Failure to pay two consecutive EMIs shall constitute an event of default.,Default shall occur if the Borrower becomes insolvent or fails to comply with material terms.,a clause defining what constitutes a default,
breach_consequences,"Upon breach of this Agreement, the Lender may demand immediate repayment of all dues.",The Lender shall have the right to terminate the agreement upon material breach.,a clause outlining the consequences of breach of contract,
lender_remedies,The Lender may initiate legal proceedings to recover dues after default.,"On breach, the Lender can enforce security or claim damages as per law.",a clause stating the lender’s remedies in case of breach,
waiver_conditions,Any waiver of rights must be in writing and signed by both parties.,Failure to enforce a clause does not amount to waiver of future rights.,a clause about waiver conditions of rights or remedies,
amendment_conditions,Any amendment to this Agreement shall be valid only if made in writing and signed by both parties.,Modifications shall be permitted only through mutual written consent of Lender and Borrower.,a clause stating how amendments to the loan agreement can be made,
renewal_terms,The loan may be renewed for an additional term upon agreement between both parties before expiry.,Renewal shall be subject to revised terms mutually decided in writing.,a clause detailing conditions under which the loan may be renewed,
renegotiation_clause,"The Borrower may request renegotiation of terms upon major economic hardship, subject to Lender's approval.",Both parties agree to enter good faith negotiations if unforeseen circumstances impact repayment.,a clause permitting renegotiation of loan terms under certain conditions,
early_termination,The Borrower may opt for early termination by repaying all dues and notifying the Lender 30 days in advance.,"Early closure is allowed with full settlement of principal, subject to pre-termination charge of 1%.",a clause allowing early termination of the agreement,
notice_method,All notices under this Agreement shall be in writing and delivered via registered post or email.,Communication shall be valid only if acknowledged by both parties through written confirmation.,a clause defining how official notices must be served,
